date,open,high,low,close,volume,raw_close,change_percent,avg_vol_20d
2010-06-29,1.26666,1.66666,1.1693399999999998,1.59266,281749173,23.8899,,
2010-06-30,1.7193399999999999,2.02794,1.55334,1.58866,257915884,23.8299,-0.25,
2010-07-01,1.66666,1.728,1.35134,1.464,123447940,21.96,-7.85,
2010-07-02,1.53334,1.54,1.2473400000000001,1.28,77127102,19.2,-12.57,
2010-07-06,1.33334,1.33334,1.05534,1.0739999999999998,103189435,16.11,-16.09,
2010-07-07,1.09334,1.10866,0.99866,1.05334,103873705,15.8001,-1.93,
2010-07-08,1.076,1.168,1.038,1.1640000000000001,115793095,17.46,10.51,
2010-07-09,1.172,1.1933399999999998,1.10334,1.16,60879087,17.4,-0.34,
2010-07-12,1.19666,1.20466,1.13334,1.13666,33053549,17.0499,-2.01,
2010-07-13,1.1596,1.24266,1.12666,1.20934,40200898,18.1401,6.39,
2010-07-14,1.1960000000000002,1.34334,1.1840000000000002,1.32266,62941647,19.8399,9.38,
2010-07-15,1.32934,1.43334,1.26666,1.326,56179453,19.89,0.25,
2010-07-16,1.38,1.42,1.33666,1.3760000000000001,39318148,20.64,3.77,
2010-07-19,1.42466,1.4833399999999999,1.3946599999999998,1.46066,37297333,21.9099,6.16,
2010-07-20,1.45666,1.45666,1.33666,1.35334,27378464,20.3001,-7.35,
2010-07-21,1.37734,1.3933399999999998,1.3,1.3479999999999999,18801629,20.22,-0.39,
2010-07-22,1.36666,1.41666,1.358,1.4,14435174,21.0,3.86,
2010-07-23,1.41266,1.4373399999999998,1.404,1.4193399999999998,9810735,21.2901,1.38,
2010-07-26,1.43334,1.43334,1.35334,1.39666,13836794,20.9499,-1.59,
2010-07-27,1.394,1.412,1.35066,1.37,9295125,20.55,-1.91,74326218.5
2010-07-28,1.37,1.3933399999999998,1.36734,1.3813399999999998,7007745,20.7201,0.82,60589147.1
2010-07-29,1.38466,1.392,1.33334,1.3566600000000002,9238650,20.3499,-1.78,48155285.4
2010-07-30,1.34666,1.36266,1.30334,1.32934,6402450,19.9401,-2.02,42303010.9
2010-08-02,1.36666,1.398,1.3555400000000002,1.3946599999999998,10787175,20.9199,4.92,38986014.55
2010-08-03,1.4,1.4633399999999999,1.388,1.4633399999999999,18465344,21.9501,4.92,34749810.0
2010-08-04,1.4633399999999999,1.47866,1.3900000000000001,1.41734,13811339,21.2601,-3.14,30246691.7
2010-08-05,1.436,1.43666,1.33666,1.36334,11945699,20.4501,-3.81,25054321.9
2010-08-06,1.34,1.344,1.30134,1.306,11132070,19.59,-4.2,22566971.05
2010-08-09,1.32666,1.332,1.29666,1.3066600000000002,12189839,19.5999,0.05,21523785.55
2010-08-10,1.3099999999999998,1.3099999999999998,1.25466,1.2686600000000001,19219289,19.0299,-2.91,20474705.1
2010-08-11,1.246,1.25866,1.1900000000000002,1.1933399999999998,11964749,17.9001,-5.94,17925860.2
2010-08-12,1.18666,1.1933399999999998,1.15934,1.17334,10369215,17.6001,-1.68,15635348.3
2010-08-13,1.212,1.23,1.17736,1.22134,9517695,18.3201,4.09,14145325.65
2010-08-16,1.23,1.2533400000000001,1.21744,1.252,7293165,18.78,2.51,12645117.25
2010-08-17,1.264,1.29334,1.252,1.27666,6718215,19.1499,1.97,11612104.8
2010-08-18,1.306,1.306,1.24,1.25134,9019980,18.7701,-1.99,11123022.35
2010-08-19,1.236,1.28334,1.222,1.2526599999999999,8686230,18.7899,0.11,10835575.15
2010-08-20,1.24334,1.274,1.234,1.2733400000000001,4462485,19.1001,1.64,10568162.65
2010-08-23,1.27266,1.3592799999999998,1.26666,1.3419999999999999,16320434,20.13,5.4,10692344.65
2010-08-24,1.28334,1.314,1.26334,1.28,10096110,19.2,-4.62,10732393.9
2010-08-25,1.27734,1.332,1.2373399999999999,1.32666,7549335,19.8999,3.65,10759473.4
2010-08-26,1.326,1.35134,1.3066600000000002,1.31666,6506040,19.7499,-0.75,10622842.9
2010-08-27,1.31666,1.32434,1.3,1.31334,5694630,19.7001,-0.26,10587451.9
